Role,Industry,Skills,Specialisation,Job Function
Gynaecologist,Healthcare,MD / MS / DNB / DGO CAN PERFORM OBS GYNAECOLOGIST PROCEEDURE INDIPENDENT,Gynaecology,Doctors/Nurses/Medical Professional
Cardiologist,Healthcare,DM / DNB FRESHER CAN APPLY ALSO,Cardiologist,Doctors/Nurses/Medical Professional
Radiologist,Healthcare,MD / DNB / DMRD EXPERIENCE AND FRESHERS CAN APPLY,Radiology,Doctors/Nurses/Medical Professional
Gynaecologist,Healthcare,md / dnb / ms / dgo  OBS AND GYNE,Gynaecology,Doctors/Nurses/Medical Professional
Medical Officer,Healthcare,MEDICAL DUTRY OFFICR,Medical Officer,Doctors/Nurses/Medical Professional
Medical Officer,Healthcare,MEDICAL OFFICER FOR JALANDHAR,Medical Officer,Doctors/Nurses/Medical Professional
Medical Officer,Healthcare,JALANDHAR PVT HOSPITAL NEED MBBS DOCTORS,Medical Officer,Doctors/Nurses/Medical Professional
Gynaecologist,Healthcare,SONOLOGIST REQUIRED DIPLOMA HOLDER,Gynaecology,Doctors/Nurses/Medical Professional
Radiologist,Healthcare,ULTRASONOLOGIST REQUIRED,Radiology,Doctors/Nurses/Medical Professional
Cardiologist,Healthcare,CARDIOLOGIST CAN PERFORM ALL KIND OF PROCEEDURES INDIPENDEND,Cardiologist,Doctors/Nurses/Medical Professional
Cardiologist,Healthcare,TAKE CARE OF CARDIAC PATIENT,Cardiologist,Doctors/Nurses/Medical Professional
"Neurologist, Other Doctor/ Physician",Healthcare,ABLE TO PERFORM ALL TYPE OF NEURO PROCEEDURE,"Neurology,NEUROSURGEON",Doctors/Nurses/Medical Professional
"Neurologist, Other Doctor/ Physician",Healthcare,VACAT P[OSITION FOR NEUROSURGEON,"Neurology,NEUROSURGEON",Doctors/Nurses/Medical Professional
"Gastroenterologist, Other Doctor/ Physician",Healthcare,GASTROENTEROLOGIST VACANT JOB,"Neurology,GASTROENTEROLOGIST",Doctors/Nurses/Medical Professional
"Gastroenterologist, Other Doctor/ Physician",Healthcare,GASTRO DOCTOR HOSPITAL JOB,"Neurology,GASTROENTEROLOGIST",Doctors/Nurses/Medical Professional
"Pulmonologist/ Pneumologist, Other Doctor/ Physician",Healthcare,TAKE CARE OF  CHEST DISEASE PATIENTS ONLY FOR HARNA,"Neurology,CHEST PHYSICIAN",Doctors/Nurses/Medical Professional
"Pulmonologist/ Pneumologist, Other Doctor/ Physician",Healthcare,TAKE CARE OF  PULMONOLOGIST PATIENTS,"Neurology,CHEST PHYSICIAN",Doctors/Nurses/Medical Professional
Other Doctor/ Physician,Healthcare,ABLE TO HANDLE ALL KIND OF   ENDOCRINE PATIENTS,ENDOCRIONOLOGIST,Doctors/Nurses/Medical Professional
Other Doctor/ Physician,Healthcare,OPPORTUNITY FOR ENDOCRINOLOGIST,ENDOCRIONOLOGIST,Doctors/Nurses/Medical Professional
Nurse,Healthcare,BSC / GNM,Nursing,Doctors/Nurses/Medical Professional
Nurse,Healthcare,NURSE WITH GYNAECOLOGIST  EXPERIENCE,Nursing,Doctors/Nurses/Medical Professional
